site,date,population,population_order,population_color,participant_count
Site 2,2017-10-28,Screened,1,#a6bddb,11
Site 2,2017-10-29,Screened,1,#a6bddb,11
Site 2,2017-10-30,Screened,1,#a6bddb,11
Site 2,2017-10-31,Screened,1,#a6bddb,11
Site 2,2017-11-01,Screened,1,#a6bddb,11
Site 2,2017-11-02,Screened,1,#a6bddb,11
Site 2,2017-11-03,Screened,1,#a6bddb,11
Site 2,2017-11-04,Screened,1,#a6bddb,11
Site 2,2017-11-05,Screened,1,#a6bddb,11
Site 2,2017-11-06,Screened,1,#a6bddb,15
Site 2,2017-11-07,Screened,1,#a6bddb,15
Site 2,2017-11-08,Screened,1,#a6bddb,15
Site 2,2017-11-09,Screened,1,#a6bddb,15
Site 2,2017-11-10,Screened,1,#a6bddb,15
Site 2,2017-11-11,Screened,1,#a6bddb,15
Site 2,2017-11-12,Screened,1,#a6bddb,15
Site 2,2017-11-13,Screened,1,#a6bddb,15
Site 2,2017-11-14,Screened,1,#a6bddb,15
Site 2,2017-11-15,Screened,1,#a6bddb,15
Site 2,2017-11-16,Screened,1,#a6bddb,15
Site 2,2017-11-17,Screened,1,#a6bddb,15
Site 2,2017-11-18,Screened,1,#a6bddb,15
Site 2,2017-11-19,Screened,1,#a6bddb,15
Site 2,2017-11-20,Screened,1,#a6bddb,15
Site 2,2017-11-21,Screened,1,#a6bddb,15
Site 2,2017-11-22,Screened,1,#a6bddb,15
Site 2,2017-11-23,Screened,1,#a6bddb,15
Site 2,2017-11-24,Screened,1,#a6bddb,15
Site 2,2017-11-25,Screened,1,#a6bddb,15
Site 2,2017-11-26,Screened,1,#a6bddb,15
Site 2,2017-11-27,Screened,1,#a6bddb,15
Site 2,2017-11-28,Screened,1,#a6bddb,15
Site 2,2017-11-29,Screened,1,#a6bddb,15
Site 2,2017-11-30,Screened,1,#a6bddb,15
Site 2,2017-12-01,Screened,1,#a6bddb,15
Site 2,2017-12-02,Screened,1,#a6bddb,15
Site 2,2017-12-03,Screened,1,#a6bddb,15
Site 2,2017-12-04,Screened,1,#a6bddb,15
Site 2,2017-12-05,Screened,1,#a6bddb,15
Site 2,2017-12-06,Screened,1,#a6bddb,15
Site 2,2017-12-07,Screened,1,#a6bddb,15
Site 2,2017-12-08,Screened,1,#a6bddb,15
Site 2,2017-12-09,Screened,1,#a6bddb,15
Site 2,2017-12-10,Screened,1,#a6bddb,15
Site 2,2017-12-11,Screened,1,#a6bddb,15
Site 2,2017-12-12,Screened,1,#a6bddb,15
Site 2,2017-12-13,Screened,1,#a6bddb,15
Site 2,2017-12-14,Screened,1,#a6bddb,15
Site 2,2017-12-15,Screened,1,#a6bddb,15
Site 2,2017-12-16,Screened,1,#a6bddb,15
Site 2,2017-12-17,Screened,1,#a6bddb,15
Site 2,2017-12-18,Screened,1,#a6bddb,15
Site 2,2017-12-19,Screened,1,#a6bddb,15
Site 2,2017-12-20,Screened,1,#a6bddb,15
Site 2,2017-12-21,Screened,1,#a6bddb,15
Site 2,2017-12-22,Screened,1,#a6bddb,15
Site 2,2017-12-23,Screened,1,#a6bddb,15
Site 2,2017-12-24,Screened,1,#a6bddb,15
Site 2,2017-12-25,Screened,1,#a6bddb,15
Site 2,2017-12-26,Screened,1,#a6bddb,15
Site 2,2017-12-27,Screened,1,#a6bddb,15
Site 2,2017-12-28,Screened,1,#a6bddb,15
Site 2,2017-12-29,Screened,1,#a6bddb,15
Site 2,2017-12-30,Screened,1,#a6bddb,15
Site 2,2017-12-31,Screened,1,#a6bddb,15
Site 2,2018-01-01,Screened,1,#a6bddb,15
Site 2,2018-01-02,Screened,1,#a6bddb,15
Site 2,2018-01-03,Screened,1,#a6bddb,15
Site 2,2018-01-04,Screened,1,#a6bddb,15
Site 2,2018-01-05,Screened,1,#a6bddb,15
Site 2,2018-01-06,Screened,1,#a6bddb,15
Site 2,2018-01-07,Screened,1,#a6bddb,15
Site 2,2018-01-08,Screened,1,#a6bddb,15
Site 2,2018-01-09,Screened,1,#a6bddb,15
Site 2,2018-01-10,Screened,1,#a6bddb,15
Site 2,2018-01-11,Screened,1,#a6bddb,15
Site 2,2018-01-12,Screened,1,#a6bddb,15
Site 2,2018-01-13,Screened,1,#a6bddb,15
Site 2,2018-01-14,Screened,1,#a6bddb,15
Site 2,2018-01-15,Screened,1,#a6bddb,15
Site 2,2018-01-16,Screened,1,#a6bddb,15
Site 2,2018-01-17,Screened,1,#a6bddb,15
Site 2,2018-01-18,Screened,1,#a6bddb,15
Site 2,2018-01-19,Screened,1,#a6bddb,15
Site 2,2018-01-20,Screened,1,#a6bddb,15
Site 2,2018-01-21,Screened,1,#a6bddb,15
Site 2,2018-01-22,Screened,1,#a6bddb,15
Site 2,2018-01-23,Screened,1,#a6bddb,15
Site 2,2018-01-24,Screened,1,#a6bddb,15
Site 2,2018-01-25,Screened,1,#a6bddb,15
Site 2,2018-01-26,Screened,1,#a6bddb,15
Site 2,2018-01-27,Screened,1,#a6bddb,15
Site 2,2018-01-28,Screened,1,#a6bddb,15
Site 2,2018-01-29,Screened,1,#a6bddb,15
Site 2,2018-01-30,Screened,1,#a6bddb,18
Site 2,2018-01-31,Screened,1,#a6bddb,18
Site 2,2018-02-01,Screened,1,#a6bddb,18
Site 2,2018-02-02,Screened,1,#a6bddb,18
Site 2,2018-02-03,Screened,1,#a6bddb,18
Site 2,2018-02-04,Screened,1,#a6bddb,18
Site 2,2018-02-05,Screened,1,#a6bddb,22
Site 2,2018-02-06,Screened,1,#a6bddb,22
Site 2,2018-02-07,Screened,1,#a6bddb,22
Site 2,2018-02-08,Screened,1,#a6bddb,22
Site 2,2018-02-09,Screened,1,#a6bddb,22
Site 2,2018-02-10,Screened,1,#a6bddb,22
Site 2,2018-02-11,Screened,1,#a6bddb,22
Site 2,2018-02-12,Screened,1,#a6bddb,22
Site 2,2018-02-13,Screened,1,#a6bddb,22
Site 2,2017-07-28,Target,3,#034e7b,0.0887671236
Site 2,2017-07-29,Target,3,#034e7b,0.1775342472
Site 2,2017-07-30,Target,3,#034e7b,0.2663013696
Site 2,2017-07-31,Target,3,#034e7b,0.3550684932
Site 2,2017-08-01,Target,3,#034e7b,0.4438356168
Site 2,2017-08-02,Target,3,#034e7b,0.5326027392
Site 2,2017-08-03,Target,3,#034e7b,0.6213698628
Site 2,2017-08-04,Target,3,#034e7b,0.7101369864
Site 2,2017-08-05,Target,3,#034e7b,0.79890411
Site 2,2017-08-06,Target,3,#034e7b,0.8876712324
Site 2,2017-08-07,Target,3,#034e7b,0.976438356
Site 2,2017-08-08,Target,3,#034e7b,1.0652054796
Site 2,2017-08-09,Target,3,#034e7b,1.1539726032
Site 2,2017-08-10,Target,3,#034e7b,1.2427397256
Site 2,2017-08-11,Target,3,#034e7b,1.3315068492
Site 2,2017-08-12,Target,3,#034e7b,1.4202739728
Site 2,2017-08-13,Target,3,#034e7b,1.5090410963999998
Site 2,2017-08-14,Target,3,#034e7b,1.5978082187999998
Site 2,2017-08-15,Target,3,#034e7b,1.6865753424
Site 2,2017-08-16,Target,3,#034e7b,1.7753424660000001
Site 2,2017-08-17,Target,3,#034e7b,1.8641095896
Site 2,2017-08-18,Target,3,#034e7b,1.952876712
Site 2,2017-08-19,Target,3,#034e7b,2.0416438356
Site 2,2017-08-20,Target,3,#034e7b,2.1304109592
Site 2,2017-08-21,Target,3,#034e7b,2.2191780828
Site 2,2017-08-22,Target,3,#034e7b,2.3079452052
Site 2,2017-08-23,Target,3,#034e7b,2.3967123288
Site 2,2017-08-24,Target,3,#034e7b,2.4854794524
Site 2,2017-08-25,Target,3,#034e7b,2.5742465759999997
Site 2,2017-08-26,Target,3,#034e7b,2.6630136984
Site 2,2017-08-27,Target,3,#034e7b,2.751780822
Site 2,2017-08-28,Target,3,#034e7b,2.8405479456
Site 2,2017-08-29,Target,3,#034e7b,2.929315068
Site 2,2017-08-30,Target,3,#034e7b,3.0180821915999996
Site 2,2017-08-31,Target,3,#034e7b,3.1068493152
Site 2,2017-09-01,Target,3,#034e7b,3.1956164387999997
Site 2,2017-09-02,Target,3,#034e7b,3.2843835612
Site 2,2017-09-03,Target,3,#034e7b,3.3731506848
Site 2,2017-09-04,Target,3,#034e7b,3.4619178084
Site 2,2017-09-05,Target,3,#034e7b,3.5506849320000002
Site 2,2017-09-06,Target,3,#034e7b,3.6394520544
Site 2,2017-09-07,Target,3,#034e7b,3.728219178
Site 2,2017-09-08,Target,3,#034e7b,3.8169863015999996
Site 2,2017-09-09,Target,3,#034e7b,3.9057534252
Site 2,2017-09-10,Target,3,#034e7b,3.9945205475999996
Site 2,2017-09-11,Target,3,#034e7b,4.0832876712
Site 2,2017-09-12,Target,3,#034e7b,4.1720547948
Site 2,2017-09-13,Target,3,#034e7b,4.2608219184
Site 2,2017-09-14,Target,3,#034e7b,4.3495890408
Site 2,2017-09-15,Target,3,#034e7b,4.4383561644
Site 2,2017-09-16,Target,3,#034e7b,4.527123287999999
Site 2,2017-09-17,Target,3,#034e7b,4.6158904116
Site 2,2017-09-18,Target,3,#034e7b,4.704657534
Site 2,2017-09-19,Target,3,#034e7b,4.7934246576
Site 2,2017-09-20,Target,3,#034e7b,4.8821917812
Site 2,2017-09-21,Target,3,#034e7b,4.9709589036
Site 2,2017-09-22,Target,3,#034e7b,5.0597260272
Site 2,2017-09-23,Target,3,#034e7b,5.148493150799999
Site 2,2017-09-24,Target,3,#034e7b,5.2372602744000005
Site 2,2017-09-25,Target,3,#034e7b,5.3260273968
Site 2,2017-09-26,Target,3,#034e7b,5.414794520399999
Site 2,2017-09-27,Target,3,#034e7b,5.503561644
Site 2,2017-09-28,Target,3,#034e7b,5.5923287676
Site 2,2017-09-29,Target,3,#034e7b,5.68109589
Site 2,2017-09-30,Target,3,#034e7b,5.769863013599999
Site 2,2017-10-01,Target,3,#034e7b,5.8586301372000005
Site 2,2017-10-02,Target,3,#034e7b,5.9473972608
Site 2,2017-10-03,Target,3,#034e7b,6.036164383199999
Site 2,2017-10-04,Target,3,#034e7b,6.1249315068
Site 2,2017-10-05,Target,3,#034e7b,6.2136986304
Site 2,2017-10-06,Target,3,#034e7b,6.302465754
Site 2,2017-10-07,Target,3,#034e7b,6.391232876399999
Site 2,2017-10-08,Target,3,#034e7b,6.48
Site 2,2017-10-09,Target,3,#034e7b,6.5687671236
Site 2,2017-10-10,Target,3,#034e7b,6.657534247199999
Site 2,2017-10-11,Target,3,#034e7b,6.7463013696
Site 2,2017-10-12,Target,3,#034e7b,6.8350684932
Site 2,2017-10-13,Target,3,#034e7b,6.9238356168
Site 2,2017-10-14,Target,3,#034e7b,7.012602739199999
Site 2,2017-10-15,Target,3,#034e7b,7.1013698628
Site 2,2017-10-16,Target,3,#034e7b,7.1901369864
Site 2,2017-10-17,Target,3,#034e7b,7.278904109999999
Site 2,2017-10-18,Target,3,#034e7b,7.367671232399999
Site 2,2017-10-19,Target,3,#034e7b,7.456438356
Site 2,2017-10-20,Target,3,#034e7b,7.5452054796
Site 2,2017-10-21,Target,3,#034e7b,7.633972603199999
Site 2,2017-10-22,Target,3,#034e7b,7.7227397256
Site 2,2017-10-23,Target,3,#034e7b,7.8115068492
Site 2,2017-10-24,Target,3,#034e7b,7.9002739728
Site 2,2017-10-25,Target,3,#034e7b,7.989041096399999
Site 2,2017-10-26,Target,3,#034e7b,8.0778082188
Site 2,2017-10-27,Target,3,#034e7b,8.1665753424
Site 2,2017-10-28,Target,3,#034e7b,8.255342466
Site 2,2017-10-29,Target,3,#034e7b,8.3441095896
Site 2,2017-10-30,Target,3,#034e7b,8.432876711999999
Site 2,2017-10-31,Target,3,#034e7b,8.5216438356
Site 2,2017-11-01,Target,3,#034e7b,8.6104109592
Site 2,2017-11-02,Target,3,#034e7b,8.6991780828
Site 2,2017-11-03,Target,3,#034e7b,8.7879452052
Site 2,2017-11-04,Target,3,#034e7b,8.8767123288
Site 2,2017-11-05,Target,3,#034e7b,8.9654794524
Site 2,2017-11-06,Target,3,#034e7b,9.054246575999999
Site 2,2017-11-07,Target,3,#034e7b,9.1430136984
Site 2,2017-11-08,Target,3,#034e7b,9.231780822
Site 2,2017-11-09,Target,3,#034e7b,9.3205479456
Site 2,2017-11-10,Target,3,#034e7b,9.409315068
Site 2,2017-11-11,Target,3,#034e7b,9.4980821916
Site 2,2017-11-12,Target,3,#034e7b,9.5868493152
Site 2,2017-11-13,Target,3,#034e7b,9.6756164388
Site 2,2017-11-14,Target,3,#034e7b,9.7643835612
Site 2,2017-11-15,Target,3,#034e7b,9.8531506848
Site 2,2017-11-16,Target,3,#034e7b,9.9419178084
Site 2,2017-11-17,Target,3,#034e7b,10.030684931999998
Site 2,2017-11-18,Target,3,#034e7b,10.1194520544
Site 2,2017-11-19,Target,3,#034e7b,10.208219178
Site 2,2017-11-20,Target,3,#034e7b,10.296986301599999
Site 2,2017-11-21,Target,3,#034e7b,10.385753425199999
Site 2,2017-11-22,Target,3,#034e7b,10.474520547600001
Site 2,2017-11-23,Target,3,#034e7b,10.5632876712
Site 2,2017-11-24,Target,3,#034e7b,10.6520547948
Site 2,2017-11-25,Target,3,#034e7b,10.7408219184
Site 2,2017-11-26,Target,3,#034e7b,10.829589040799998
Site 2,2017-11-27,Target,3,#034e7b,10.9183561644
Site 2,2017-11-28,Target,3,#034e7b,11.007123288
Site 2,2017-11-29,Target,3,#034e7b,11.0958904116
Site 2,2017-11-30,Target,3,#034e7b,11.184657534
Site 2,2017-12-01,Target,3,#034e7b,11.273424657599998
Site 2,2017-12-02,Target,3,#034e7b,11.3621917812
Site 2,2017-12-03,Target,3,#034e7b,11.4509589036
Site 2,2017-12-04,Target,3,#034e7b,11.539726027199999
Site 2,2017-12-05,Target,3,#034e7b,11.628493150799999
Site 2,2017-12-06,Target,3,#034e7b,11.717260274400001
Site 2,2017-12-07,Target,3,#034e7b,11.8060273968
Site 2,2017-12-08,Target,3,#034e7b,11.8947945204
Site 2,2017-12-09,Target,3,#034e7b,11.983561644
Site 2,2017-12-10,Target,3,#034e7b,12.072328764
Site 2,2017-12-11,Target,3,#034e7b,12.161095895999999
Site 2,2017-12-12,Target,3,#034e7b,12.249863016
Site 2,2017-12-13,Target,3,#034e7b,12.338630135999999
Site 2,2017-12-14,Target,3,#034e7b,12.427397255999999
Site 2,2017-12-15,Target,3,#034e7b,12.516164387999998
Site 2,2017-12-16,Target,3,#034e7b,12.604931508
Site 2,2017-12-17,Target,3,#034e7b,12.693698628
Site 2,2017-12-18,Target,3,#034e7b,12.78246576
Site 2,2017-12-19,Target,3,#034e7b,12.871232879999999
Site 2,2017-12-20,Target,3,#034e7b,12.96
Site 2,2017-12-21,Target,3,#034e7b,13.048767119999999
Site 2,2017-12-22,Target,3,#034e7b,13.137534252
Site 2,2017-12-23,Target,3,#034e7b,13.226301372
Site 2,2017-12-24,Target,3,#034e7b,13.315068492
Site 2,2017-12-25,Target,3,#034e7b,13.403835612
Site 2,2017-12-26,Target,3,#034e7b,13.492602744000001
Site 2,2017-12-27,Target,3,#034e7b,13.581369864
Site 2,2017-12-28,Target,3,#034e7b,13.670136983999999
Site 2,2017-12-29,Target,3,#034e7b,13.758904115999998
Site 2,2017-12-30,Target,3,#034e7b,13.847671236
Site 2,2017-12-31,Target,3,#034e7b,13.936438356
Site 2,2018-01-01,Target,3,#034e7b,14.025205475999998
Site 2,2018-01-02,Target,3,#034e7b,14.113972608
Site 2,2018-01-03,Target,3,#034e7b,14.202739728000001
Site 2,2018-01-04,Target,3,#034e7b,14.291506848
Site 2,2018-01-05,Target,3,#034e7b,14.380273968
Site 2,2018-01-06,Target,3,#034e7b,14.469041099999998
Site 2,2018-01-07,Target,3,#034e7b,14.557808219999998
Site 2,2018-01-08,Target,3,#034e7b,14.64657534
Site 2,2018-01-09,Target,3,#034e7b,14.735342472
Site 2,2018-01-10,Target,3,#034e7b,14.824109592
Site 2,2018-01-11,Target,3,#034e7b,14.912876712
Site 2,2018-01-12,Target,3,#034e7b,15.001643832
Site 2,2018-01-13,Target,3,#034e7b,15.090410964
Site 2,2018-01-14,Target,3,#034e7b,15.179178084
Site 2,2018-01-15,Target,3,#034e7b,15.267945203999998
Site 2,2018-01-16,Target,3,#034e7b,15.356712324
Site 2,2018-01-17,Target,3,#034e7b,15.445479456000001
Site 2,2018-01-18,Target,3,#034e7b,15.534246576
Site 2,2018-01-19,Target,3,#034e7b,15.623013696
Site 2,2018-01-20,Target,3,#034e7b,15.711780827999998
Site 2,2018-01-21,Target,3,#034e7b,15.800547947999998
Site 2,2018-01-22,Target,3,#034e7b,15.889315068
Site 2,2018-01-23,Target,3,#034e7b,15.978082187999998
Site 2,2018-01-24,Target,3,#034e7b,16.06684932
Site 2,2018-01-25,Target,3,#034e7b,16.15561644
Site 2,2018-01-26,Target,3,#034e7b,16.24438356
Site 2,2018-01-27,Target,3,#034e7b,16.33315068
Site 2,2018-01-28,Target,3,#034e7b,16.421917812
Site 2,2018-01-29,Target,3,#034e7b,16.510684932
Site 2,2018-01-30,Target,3,#034e7b,16.599452052
Site 2,2018-01-31,Target,3,#034e7b,16.688219183999998
Site 2,2018-02-01,Target,3,#034e7b,16.776986304
Site 2,2018-02-02,Target,3,#034e7b,16.865753423999998
Site 2,2018-02-03,Target,3,#034e7b,16.954520543999998
Site 2,2018-02-04,Target,3,#034e7b,17.043287676
Site 2,2018-02-05,Target,3,#034e7b,17.132054796
Site 2,2018-02-06,Target,3,#034e7b,17.220821916
Site 2,2018-02-07,Target,3,#034e7b,17.309589036
Site 2,2018-02-08,Target,3,#034e7b,17.398356168
Site 2,2018-02-09,Target,3,#034e7b,17.487123288
Site 2,2018-02-10,Target,3,#034e7b,17.575890408
Site 2,2018-02-11,Target,3,#034e7b,17.66465754
Site 2,2018-02-12,Target,3,#034e7b,17.75342466
Site 2,2018-02-13,Target,3,#034e7b,17.84219178
Site 1,2017-07-28,Randomized,2,#3690c0,0
Site 1,2017-07-29,Randomized,2,#3690c0,0
Site 1,2017-07-30,Randomized,2,#3690c0,0
Site 1,2017-07-31,Randomized,2,#3690c0,0
Site 1,2017-08-01,Randomized,2,#3690c0,0
Site 1,2017-08-02,Randomized,2,#3690c0,0
Site 1,2017-08-03,Randomized,2,#3690c0,0
Site 1,2017-08-04,Randomized,2,#3690c0,0
Site 1,2017-08-05,Randomized,2,#3690c0,0
Site 1,2017-08-06,Randomized,2,#3690c0,0
Site 1,2017-08-07,Randomized,2,#3690c0,0
Site 1,2017-08-08,Randomized,2,#3690c0,0
Site 1,2017-08-09,Randomized,2,#3690c0,0
Site 1,2017-08-10,Randomized,2,#3690c0,0
Site 1,2017-08-11,Randomized,2,#3690c0,0
Site 1,2017-08-12,Randomized,2,#3690c0,0
Site 1,2017-08-13,Randomized,2,#3690c0,0
Site 1,2017-08-14,Randomized,2,#3690c0,0
Site 1,2017-08-15,Randomized,2,#3690c0,0
Site 1,2017-08-16,Randomized,2,#3690c0,0
Site 1,2017-08-17,Randomized,2,#3690c0,0
Site 1,2017-08-18,Randomized,2,#3690c0,0
Site 1,2017-08-19,Randomized,2,#3690c0,0
Site 1,2017-08-20,Randomized,2,#3690c0,0
Site 1,2017-08-21,Randomized,2,#3690c0,0
Site 1,2017-08-22,Randomized,2,#3690c0,0
Site 1,2017-08-23,Randomized,2,#3690c0,0
Site 1,2017-08-24,Randomized,2,#3690c0,0
Site 1,2017-08-25,Randomized,2,#3690c0,0
Site 1,2017-08-26,Randomized,2,#3690c0,0
Site 1,2017-08-27,Randomized,2,#3690c0,0
Site 1,2017-08-28,Randomized,2,#3690c0,0
Site 1,2017-08-29,Randomized,2,#3690c0,0
Site 1,2017-08-30,Randomized,2,#3690c0,0
Site 1,2017-08-31,Randomized,2,#3690c0,0
Site 1,2017-09-01,Randomized,2,#3690c0,0
Site 1,2017-09-02,Randomized,2,#3690c0,0
Site 1,2017-09-03,Randomized,2,#3690c0,0
Site 1,2017-09-04,Randomized,2,#3690c0,0
Site 1,2017-09-05,Randomized,2,#3690c0,0
Site 1,2017-09-06,Randomized,2,#3690c0,0
Site 1,2017-09-07,Randomized,2,#3690c0,0
Site 1,2017-09-08,Randomized,2,#3690c0,0
Site 1,2017-09-09,Randomized,2,#3690c0,0
Site 1,2017-09-10,Randomized,2,#3690c0,0
Site 1,2017-09-11,Randomized,2,#3690c0,0
Site 1,2017-09-12,Randomized,2,#3690c0,0
Site 1,2017-09-13,Randomized,2,#3690c0,0
Site 1,2017-09-14,Randomized,2,#3690c0,0
Site 1,2017-09-15,Randomized,2,#3690c0,0
Site 1,2017-09-16,Randomized,2,#3690c0,0
Site 1,2017-09-17,Randomized,2,#3690c0,0
Site 1,2017-09-18,Randomized,2,#3690c0,0
Site 1,2017-09-19,Randomized,2,#3690c0,0
Site 1,2017-09-20,Randomized,2,#3690c0,0
Site 1,2017-09-21,Randomized,2,#3690c0,0
Site 1,2017-09-22,Randomized,2,#3690c0,0
Site 1,2017-09-23,Randomized,2,#3690c0,0
Site 1,2017-09-24,Randomized,2,#3690c0,0
Site 1,2017-09-25,Randomized,2,#3690c0,0
Site 1,2017-09-26,Randomized,2,#3690c0,0
Site 1,2017-09-27,Randomized,2,#3690c0,0
Site 1,2017-09-28,Randomized,2,#3690c0,4
Site 1,2017-09-29,Randomized,2,#3690c0,4
Site 1,2017-09-30,Randomized,2,#3690c0,4
Site 1,2017-10-01,Randomized,2,#3690c0,4
Site 1,2017-10-02,Randomized,2,#3690c0,4
Site 1,2017-10-03,Randomized,2,#3690c0,4
Site 1,2017-10-04,Randomized,2,#3690c0,4
Site 1,2017-10-05,Randomized,2,#3690c0,4
Site 1,2017-10-06,Randomized,2,#3690c0,4
Site 1,2017-10-07,Randomized,2,#3690c0,4
Site 1,2017-10-08,Randomized,2,#3690c0,4
Site 1,2017-10-09,Randomized,2,#3690c0,4
Site 1,2017-10-10,Randomized,2,#3690c0,4
Site 1,2017-10-11,Randomized,2,#3690c0,4
Site 1,2017-10-12,Randomized,2,#3690c0,4
Site 1,2017-10-13,Randomized,2,#3690c0,4
Site 1,2017-10-14,Randomized,2,#3690c0,4
Site 1,2017-10-15,Randomized,2,#3690c0,4
Site 1,2017-10-16,Randomized,2,#3690c0,4
Site 1,2017-10-17,Randomized,2,#3690c0,4
Site 1,2017-10-18,Randomized,2,#3690c0,4
Site 1,2017-10-19,Randomized,2,#3690c0,4
Site 1,2017-10-20,Randomized,2,#3690c0,4
Site 1,2017-10-21,Randomized,2,#3690c0,4
Site 1,2017-10-22,Randomized,2,#3690c0,4
Site 1,2017-10-23,Randomized,2,#3690c0,7
Site 1,2017-10-24,Randomized,2,#3690c0,7
Site 1,2017-10-25,Randomized,2,#3690c0,7
Site 1,2017-10-26,Randomized,2,#3690c0,7
Site 1,2017-10-27,Randomized,2,#3690c0,7
Site 1,2017-10-28,Randomized,2,#3690c0,7
Site 1,2017-10-29,Randomized,2,#3690c0,7
Site 1,2017-10-30,Randomized,2,#3690c0,7
Site 1,2017-10-31,Randomized,2,#3690c0,7
Site 1,2017-11-01,Randomized,2,#3690c0,7
Site 1,2017-11-02,Randomized,2,#3690c0,7
Site 1,2017-11-03,Randomized,2,#3690c0,7
Site 1,2017-11-04,Randomized,2,#3690c0,7
Site 1,2017-11-05,Randomized,2,#3690c0,7
Site 1,2017-11-06,Randomized,2,#3690c0,7
Site 1,2017-11-07,Randomized,2,#3690c0,7
Site 1,2017-11-08,Randomized,2,#3690c0,7
Site 1,2017-11-09,Randomized,2,#3690c0,7
Site 1,2017-11-10,Randomized,2,#3690c0,7
Site 1,2017-11-11,Randomized,2,#3690c0,7
Site 1,2017-11-12,Randomized,2,#3690c0,7
Site 1,2017-11-13,Randomized,2,#3690c0,7
Site 1,2017-11-14,Randomized,2,#3690c0,7
Site 1,2017-11-15,Randomized,2,#3690c0,7
Site 1,2017-11-16,Randomized,2,#3690c0,7
Site 1,2017-11-17,Randomized,2,#3690c0,7
Site 1,2017-11-18,Randomized,2,#3690c0,7
Site 1,2017-11-19,Randomized,2,#3690c0,7
Site 1,2017-11-20,Randomized,2,#3690c0,7
Site 1,2017-11-21,Randomized,2,#3690c0,7
Site 1,2017-11-22,Randomized,2,#3690c0,7
Site 1,2017-11-23,Randomized,2,#3690c0,7
Site 1,2017-11-24,Randomized,2,#3690c0,7
Site 1,2017-11-25,Randomized,2,#3690c0,7
Site 1,2017-11-26,Randomized,2,#3690c0,7
Site 1,2017-11-27,Randomized,2,#3690c0,7
Site 1,2017-11-28,Randomized,2,#3690c0,7
Site 1,2017-11-29,Randomized,2,#3690c0,7
Site 1,2017-11-30,Randomized,2,#3690c0,7
Site 1,2017-12-01,Randomized,2,#3690c0,7
Site 1,2017-12-02,Randomized,2,#3690c0,7
Site 1,2017-12-03,Randomized,2,#3690c0,7
Site 1,2017-12-04,Randomized,2,#3690c0,7
Site 1,2017-12-05,Randomized,2,#3690c0,7
Site 1,2017-12-06,Randomized,2,#3690c0,7
Site 1,2017-12-07,Randomized,2,#3690c0,7
Site 1,2017-12-08,Randomized,2,#3690c0,7
Site 1,2017-12-09,Randomized,2,#3690c0,7
Site 1,2017-12-10,Randomized,2,#3690c0,7
Site 1,2017-12-11,Randomized,2,#3690c0,7
Site 1,2017-12-12,Randomized,2,#3690c0,7
Site 1,2017-12-13,Randomized,2,#3690c0,7
Site 1,2017-12-14,Randomized,2,#3690c0,7
Site 1,2017-12-15,Randomized,2,#3690c0,7
Site 1,2017-12-16,Randomized,2,#3690c0,7
Site 1,2017-12-17,Randomized,2,#3690c0,7
Site 1,2017-12-18,Randomized,2,#3690c0,7
Site 1,2017-12-19,Randomized,2,#3690c0,7
Site 1,2017-12-20,Randomized,2,#3690c0,7
Site 1,2017-12-21,Randomized,2,#3690c0,7
Site 1,2017-12-22,Randomized,2,#3690c0,7
Site 1,2017-12-23,Randomized,2,#3690c0,7
Site 1,2017-12-24,Randomized,2,#3690c0,7
Site 1,2017-12-25,Randomized,2,#3690c0,7
Site 1,2017-12-26,Randomized,2,#3690c0,7
Site 1,2017-12-27,Randomized,2,#3690c0,7
Site 1,2017-12-28,Randomized,2,#3690c0,7
Site 1,2017-12-29,Randomized,2,#3690c0,7
Site 1,2017-12-30,Randomized,2,#3690c0,7
Site 1,2017-12-31,Randomized,2,#3690c0,7
Site 1,2018-01-01,Randomized,2,#3690c0,7
Site 1,2018-01-02,Randomized,2,#3690c0,7
Site 1,2018-01-03,Randomized,2,#3690c0,7
Site 1,2018-01-04,Randomized,2,#3690c0,7
Site 1,2018-01-05,Randomized,2,#3690c0,7
Site 1,2018-01-06,Randomized,2,#3690c0,7
Site 1,2018-01-07,Randomized,2,#3690c0,7
Site 1,2018-01-08,Randomized,2,#3690c0,7
Site 1,2018-01-09,Randomized,2,#3690c0,7
Site 1,2018-01-10,Randomized,2,#3690c0,7
Site 1,2018-01-11,Randomized,2,#3690c0,10
Site 1,2018-01-12,Randomized,2,#3690c0,10
Site 1,2018-01-13,Randomized,2,#3690c0,10
Site 1,2018-01-14,Randomized,2,#3690c0,10
Site 1,2018-01-15,Randomized,2,#3690c0,10
Site 1,2018-01-16,Randomized,2,#3690c0,10
Site 1,2018-01-17,Randomized,2,#3690c0,10
Site 1,2018-01-18,Randomized,2,#3690c0,10
Site 1,2018-01-19,Randomized,2,#3690c0,10
Site 1,2018-01-20,Randomized,2,#3690c0,10
Site 1,2018-01-21,Randomized,2,#3690c0,10
Site 1,2018-01-22,Randomized,2,#3690c0,10
Site 1,2018-01-23,Randomized,2,#3690c0,10
Site 1,2018-01-24,Randomized,2,#3690c0,10
Site 1,2018-01-25,Randomized,2,#3690c0,10
Site 1,2018-01-26,Randomized,2,#3690c0,10
Site 1,2018-01-27,Randomized,2,#3690c0,10
Site 1,2018-01-28,Randomized,2,#3690c0,10
